video,title,isdone,n_chunks,transcription
تحدي المافيا المغربية - الجزء الثاني,,,,وعمر كيقول ليا كتكدب، والله حت غتندم. أكثر مدرب دوزتي معاه بيريود خايب. التيران فهمتي شنو هي؟ دويتي بزاف في الروح الرياضية. صافي سكتي اويلي. يلا. مرحبا بكم فيديو جديد.
تحدي المافيا المغربية - الجزء الثاني,,,,الجزء الثاني. في عالم الإجرام سهل تكون مافيا، اللي صعيب هو تبقى مافيا. إلى ما فاهمينش شنو هو الكونسيبت
تحدي المافيا المغربية - الجزء الثاني,,,,دابا فهاد اللحظة، غنشرح ليكم الكونسيبت. المافيا. لعبة إغتيال، أدوارها الشيخ، الطبيب، المواطن الصالح والمافيا، اللي كيقتلو. الدور ديالهم يعرفو شكون المافيا. ضيوفي معانا.
تحدي المافيا المغربية - الجزء الثاني,,,,فائز هذه الحلقة هما كالاتي. تبارك الله عليكم الشباب، مرحبا بكم. هذه الجولة الأولى. وكيما عارفين، الأدوار كتفرق بشكل
تحدي المافيا المغربية - الجزء الثاني,,,,عشوائي جدا، دونك أنا معرفتش المافيا شكون. الأدوار تتفرق. ثلاثة.
تحدي المافيا المغربية - الجزء الثاني,,,,"شوفوا الادوار ديالكم.
"
تحدي المافيا المغربية - الجزء الثاني,,,,هذا يا عباد الله، هذا يطلب منكم دابا كاملين اللي
تحدي المافيا المغربية - الجزء الثاني,,,,حتى اللي وصل بلاتي ما حتى احد ما يغش لا لا كاين كاين كاميرا كاين كاميرا الزبير زهري عينيه كلشي غمض عينيه وحده المافيا تحل عينيها باش تتعرف عليها
تحدي المافيا المغربية - الجزء الثاني,,,,"شكرا لكم المافيا، المافيا يعطيوني.
"
تحدي المافيا المغربية - الجزء الثاني,,,,شكون بغيتوا تقتلوا؟
تحدي المافيا المغربية - الجزء الثاني,,,,ايوا اعوذ بالله. الله عليك غير شيرو لي ليا.
تحدي المافيا المغربية - الجزء الثاني,,,,"شكرا لكم المافيا، تم الاغتيال بنجاح.
"
تحدي المافيا المغربية - الجزء الثاني,,,,"Alright, send me the audio and I'll do my best to transcribe it into Darija. 
"
تحدي المافيا المغربية - الجزء الثاني,,,,"فهمت. اتعيطي لي قري. الطبيب.
"
